Timestamp,Game State,Team,Player,Penalized,Pose X,Pose Y, Pose A, isFallen, Ball Age, Ball X, Ball Y
18513,R,19,6,U,-2053.3538,-846.3703,1.4623182,false,380443.0,0.0,0.0
18589,R,13,1,U,-4202.632,-14.741002,0.014738112,false,-1.0,-10.0,-10.0
18645,R,19,1,U,-4715.0347,2005.0011,-1.3431937,false,312249.0,0.0,0.0
18782,R,13,7,U,-1233.0427,-135.12134,-0.12874258,false,-1.0,-10.0,-10.0
18946,R,19,5,U,-3188.7302,-524.8721,-0.19012901,false,312567.0,0.0,0.0
19049,R,19,7,U,-778.10333,-1407.1556,0.13182022,false,312767.0,0.0,0.0
19189,R,19,2,U,-3189.4846,411.42145,0.04507029,false,312542.0,0.0,0.0
19282,R,19,3,U,-1452.4991,1670.0538,0.23516624,false,381350.0,0.0,0.0
19327,R,13,2,U,-3204.2715,590.097,-0.118000425,false,-1.0,-10.0,-10.0
19327,R,13,4,U,-1718.0813,-613.807,-0.1130004,false,-1.0,-10.0,-10.0
19332,R,13,6,U,-1752.7539,295.99652,0.08587758,false,-1.0,-10.0,-10.0
19343,R,13,5,U,-3267.1975,-706.1199,-0.04252461,false,-1.0,-10.0,-10.0
19416,R,19,4,U,-617.32465,204.81052,-0.66079444,false,195189.0,0.0,0.0
19565,R,19,6,U,-2041.8958,-681.4043,1.4885038,false,381475.0,0.0,0.0
19652,R,13,1,U,-4202.368,-22.71014,0.013717281,false,-1.0,-10.0,-10.0
19681,R,19,1,U,-4793.896,2130.7366,-0.3097344,false,313249.0,0.0,0.0
19766,R,13,7,U,-1222.3181,-108.53262,-0.08261296,false,-1.0,-10.0,-10.0
20075,R,19,5,U,-3184.7383,-456.22165,0.03364924,false,313596.0,0.0,0.0
20107,R,19,7,U,-777.35706,-1404.389,0.12847653,false,313818.0,0.0,0.0
20141,R,19,2,U,-3219.3623,392.05936,-0.033943374,false,313630.0,0.0,0.0
20253,R,19,3,U,-1459.886,1664.5217,0.24427694,false,382389.0,0.0,0.0
20319,R,13,4,U,-1759.4103,-605.1427,-0.12225278,false,-1.0,-10.0,-10.0
20333,R,13,6,U,-1794.2178,483.23514,-0.091461614,false,-1.0,-10.0,-10.0
20351,R,13,5,U,-3242.444,-749.39545,-0.045761693,false,-1.0,-10.0,-10.0
20370,R,13,2,U,-3162.8406,629.3801,-0.08254395,false,-1.0,-10.0,-10.0
20474,R,19,4,U,-553.5803,132.48543,-0.010519103,false,196276.0,0.0,0.0
20569,R,19,6,U,-2044.709,-571.9844,1.4469056,false,382478.0,0.0,0.0
